тэрил<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тэриллэрбин
тэрил<NOUN><Number=Plur><Case=Nom>	тэриллэр
тэрил<NOUN><Number=Plur><Case=Acc>	тэриллэри
тэрил<NOUN><Number=Plur><Case=Cmp>	тэриллэрдээҕэр
тэрил<NOUN><Number=Plur><Case=Dat>	тэриллэргэ
тэрил<NOUN><Number=Plur><Case=Par>	тэриллэрдэ
тэрил<NOUN><Number=Plur><Case=Ins>	тэриллэринэн
тиэй<VERB><Number=Sing><Person=3><Tense=Fut>	тиэй{F}аҕа
тиэй<VERB><Number=Sing><Person=2><Tense=Fut>	тиэйҕиҥ
тиэй<VERB><Mood=Imp><Number=Sing><Person=3><Tense=Pres>	тиэйтин
тиэй<VERB><Tense=Pres><VerbForm=Trans>	тиэйэ
тиэй<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	тиэй
тиэй<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	тиэймэҥ
тиэй<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	тиэймэ
тиэй<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	тиэйиҥ
тиэй<VERB><Number=Sing><Person=2><Tense=Pres>	тиэйэҕин
тиэй<VERB><Number=Sing><Person=3><Tense=Pres>	тиэйэр
тиэй<VERB><Number=Plur><Person=3><Polarity=Neg><Tense=Pres>	тиэйбэттэр
тиэй<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	тиэйбэккит
тиэй<VERB><Number=Plur><Person=1><Polarity=Neg><Tense=Pres>	тиэйбэппит
тиэй<VERB><Number=Plur><Person=3><Tense=PastPerf>	тиэйбиттэра
тиэй<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	тиэйбэт
тиэй<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=PastResultI>	тиэйбэтэх
тиэй<VERB><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	тиэйбэккин
тиэй<VERB><Number=Sing><Person=3><Tense=PastResultI>	тиэйбит
тиэй<VERB><Number=Sing><Person=3><Tense=PastPerf>	тиэйбитэ
тиэй<VERB><Number=Sing><Person=1><Tense=PastPerf>	тиэйбитим
тиэй<VERB><Number=Sing><Person=2><Tense=PastPerf>	тиэйбитиҥ
тиэй<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	тиэйэрий
тиэй<VERB><Int=Yes><Number=Plur><Person=3><Tense=Pres>	тиэйэллэрий
тиэй<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=NearPast>	тиэйпэтигит
тиэй<VERB><Number=Plur><Person=1><Tense=Pres>	тиэйбит
тиэй<VERB><Number=Plur><Person=2><Tense=Pres>	тиэйэҕит
тиэй<VERB><Number=Plur><Person=3><Tense=Pres>	тиэйэллэр
тиэй<VERB><Number=Sing><Person=1><Tense=Pres>	тиэй{V}бин
тиэй<VERB><Clusivity=In><Mood=Imp><Number=Sing><Person=1><Tense=Pres>	тиэйыах
тиэй<VERB><Number=Plur><Person=3><Tense=NearPast>	тиэйдилэр
тиэй<VERB><Number=Plur><Person=1><Tense=NearPast>	тиэйдибит
тиэй<VERB><Number=Sing><Person=3><Tense=NearPast>	тиэйдэ
тиэй<VERB><Number=Sing><Person=1><Tense=NearPast>	тиэйдим
тиэй<VERB><Number=Sing><Person=1><Tense=Fut>	тиэйиэҕим
тиэй<VERB><Number=Plur><Person=3><Tense=Fut>	тиэйиэхтэрэ
тиэй<VERB><Number=Plur><Person=1><Tense=Fut>	тиэйиэхпит
тиит<NOUN><Number=Sing><Case=Com>	тииттиин
тиит<NOUN><Number=Sing><Int=Yes><Case=Nom>	тиитий
тиит<NOUN><Number=Sing><Case=Abl>	тииттан
тиит<NOUN><Number=Sing><Case=Dat><Nomzr=Action>	тиитыахха
тиит<NOUN><Number=Sing><Case=Cmp>	тииттээҕэр
тиит<NOUN><Number=Sing><Case=Par>	тииттэ
тиит<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тиитлэрин
тиит<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тиитлэрэ
